# ATA002_iter2-Revision.csv | TFG HIDS - Fase 3 A2.1 (R-09/R-13) | ata=ATA002 iter=2 | modo=ataque | alerta=Dataset/Ataques/Resultados/Wazuh/linux/CSV/ATA002_iter2-Detalle.csv sha256=29bd7224d20ed6f9e3d6d03b01bc51b9b2f730ff655721bbb73d12acec02763a | catalogo=Dataset/Legitimo/ruleids_legitimos.csv sha256=388dce2f0a3c51e8dcb5583a393a25d4b9483e35881701817bc1d3bd41561be8 | esperado=Dataset/Ataques/Comandos\T1485-Data_Destruction\ATA002_esperado.csv sha256=9739db1f998d17fd1c32e33996904266892f3a7eb804de7400b992323ee336f8 | conteos: filas=770 deteccion=4 auto_ruido=641 ruido_conocido=76 dudosa=49 | columnas: ata_id,iter,timestamp_utc,agent_name,rule_id,rule_level,rule_groups,rs_origen,rule_description,categoria,motivo,atribucion,revision,veredicto_humano,evidencia
ata_id,iter,timestamp_utc,agent_name,rule_id,rule_level,rule_groups,rs_origen,rule_description,categoria,motivo,atribucion,revision,veredicto_humano,evidencia,veredicto,nota,revisor,fecha
ATA002,2,2026-09-25T20:36:18.620Z,victima-linux,80780,3,audit|audit_watch_write,RS2,Audit: Watch - Write access.,dudosa,ambigua:T1485-A2,T1485|File Modification,pendiente,,rule_group=audit_watch_write,ruido,Veredicto global aprobado por el humano (2026-09-25): senal ambigua T1485-A2 (rule_group=audit_watch_write) demasiado amplia; ninguna fila toca la carpeta del ataque (lab-legit); churn de sistema; la regla ya esta en el catalogo del baseline.,humano (veredicto en bloque),2026-09-25
ATA002,2,2026-09-25T20:36:18.625Z,victima-linux,80791,3,audit|audit_watch_delete|audit_watch_write,RS2,Audit: Deleted: /run/systemd/sessions/.,dudosa,ambigua:T1485-A2,T1485|File Modification,pendiente,,rule_group=audit_watch_write,ruido,Veredicto global aprobado por el humano (2026-09-25): senal ambigua T1485-A2 (rule_group=audit_watch_write) demasiado amplia; ninguna fila toca la carpeta del ataque (lab-legit); churn de sistema; la regla ya esta en el catalogo del baseline.,humano (veredicto en bloque),2026-09-25
ATA002,2,2026-09-25T20:36:18.628Z,victima-linux,80791,3,audit|audit_watch_delete|audit_watch_write,RS2,Audit: Deleted: /run/systemd/users/.,dudosa,ambigua:T1485-A2,T1485|File Modification,pendiente,,rule_group=audit_watch_write,ruido,Veredicto global aprobado por el humano (2026-09-25): senal ambigua T1485-A2 (rule_group=audit_watch_write) demasiado amplia; ninguna fila toca la carpeta del ataque (lab-legit); churn de sistema; la regla ya esta en el catalogo del baseline.,humano (veredicto en bloque),2026-09-25
ATA002,2,2026-09-25T20:36:18.630Z,victima-linux,80791,3,audit|audit_watch_delete|audit_watch_write,RS2,Audit: Deleted: /run/systemd/sessions/.,dudosa,ambigua:T1485-A2,T1485|File Modification,pendiente,,rule_group=audit_watch_write,ruido,Veredicto global aprobado por el humano (2026-09-25): senal ambigua T1485-A2 (rule_group=audit_watch_write) demasiado amplia; ninguna fila toca la carpeta del ataque (lab-legit); churn de sistema; la regla ya esta en el catalogo del baseline.,humano (veredicto en bloque),2026-09-25
ATA002,2,2026-09-25T20:36:18.633Z,victima-linux,80791,3,audit|audit_watch_delete|audit_watch_write,RS2,Audit: Deleted: /run/systemd/sessions/.,dudosa,ambigua:T1485-A2,T1485|File Modification,pendiente,,rule_group=audit_watch_write,ruido,Veredicto global aprobado por el humano (2026-09-25): senal ambigua T1485-A2 (rule_group=audit_watch_write) demasiado amplia; ninguna fila toca la carpeta del ataque (lab-legit); churn de sistema; la regla ya esta en el catalogo del baseline.,humano (veredicto en bloque),2026-09-25
ATA002,2,2026-09-25T20:36:18.638Z,victima-linux,80791,3,audit|audit_watch_delete|audit_watch_write,RS2,Audit: Deleted: /run/systemd/users/.,dudosa,ambigua:T1485-A2,T1485|File Modification,pendiente,,rule_group=audit_watch_write,ruido,Veredicto global aprobado por el humano (2026-09-25): senal ambigua T1485-A2 (rule_group=audit_watch_write) demasiado amplia; ninguna fila toca la carpeta del ataque (lab-legit); churn de sistema; la regla ya esta en el catalogo del baseline.,humano (veredicto en bloque),2026-09-25
ATA002,2,2026-09-25T20:36:18.772Z,victima-linux,80791,3,audit|audit_watch_delete|audit_watch_write,RS2,Audit: Deleted: /run/.,dudosa,ambigua:T1485-A2,T1485|File Modification,pendiente,,rule_group=audit_watch_write,ruido,Veredicto global aprobado por el humano (2026-09-25): senal ambigua T1485-A2 (rule_group=audit_watch_write) demasiado amplia; ninguna fila toca la carpeta del ataque (lab-legit); churn de sistema; la regla ya esta en el catalogo del baseline.,humano (veredicto en bloque),2026-09-25
ATA002,2,2026-09-25T20:36:18.823Z,victima-linux,80791,3,audit|audit_watch_delete|audit_watch_write,RS2,Audit: Deleted: /run/systemd/sessions/12.ref.,dudosa,ambigua:T1485-A2,T1485|File Modification,pendiente,,rule_group=audit_watch_write,ruido,Veredicto global aprobado por el humano (2026-09-25): senal ambigua T1485-A2 (rule_group=audit_watch_write) demasiado amplia; ninguna fila toca la carpeta del ataque (lab-legit); churn de sistema; la regla ya esta en el catalogo del baseline.,humano (veredicto en bloque),2026-09-25
ATA002,2,2026-09-25T20:36:18.826Z,victima-linux,80791,3,audit|audit_watch_delete|audit_watch_write,RS2,Audit: Deleted: /run/systemd/sessions/.,dudosa,ambigua:T1485-A2,T1485|File Modification,pendiente,,rule_group=audit_watch_write,ruido,Veredicto global aprobado por el humano (2026-09-25): senal ambigua T1485-A2 (rule_group=audit_watch_write) demasiado amplia; ninguna fila toca la carpeta del ataque (lab-legit); churn de sistema; la regla ya esta en el catalogo del baseline.,humano (veredicto en bloque),2026-09-25
ATA002,2,2026-09-25T20:36:18.828Z,victima-linux,80791,3,audit|audit_watch_delete|audit_watch_write,RS2,Audit: Deleted: /run/systemd/users/.,dudosa,ambigua:T1485-A2,T1485|File Modification,pendiente,,rule_group=audit_watch_write,ruido,Veredicto global aprobado por el humano (2026-09-25): senal ambigua T1485-A2 (rule_group=audit_watch_write) demasiado amplia; ninguna fila toca la carpeta del ataque (lab-legit); churn de sistema; la regla ya esta en el catalogo del baseline.,humano (veredicto en bloque),2026-09-25
ATA002,2,2026-09-25T20:36:18.836Z,victima-linux,80791,3,audit|audit_watch_delete|audit_watch_write,RS2,Audit: Deleted: /run/systemd/sessions/12.,dudosa,ambigua:T1485-A2,T1485|File Modification,pendiente,,rule_group=audit_watch_write,ruido,Veredicto global aprobado por el humano (2026-09-25): senal ambigua T1485-A2 (rule_group=audit_watch_write) demasiado amplia; ninguna fila toca la carpeta del ataque (lab-legit); churn de sistema; la regla ya esta en el catalogo del baseline.,humano (veredicto en bloque),2026-09-25
ATA002,2,2026-09-25T20:36:18.836Z,victima-linux,80791,3,audit|audit_watch_delete|audit_watch_write,RS2,Audit: Deleted: /run/systemd/users/.,dudosa,ambigua:T1485-A2,T1485|File Modification,pendiente,,rule_group=audit_watch_write,ruido,Veredicto global aprobado por el humano (2026-09-25): senal ambigua T1485-A2 (rule_group=audit_watch_write) demasiado amplia; ninguna fila toca la carpeta del ataque (lab-legit); churn de sistema; la regla ya esta en el catalogo del baseline.,humano (veredicto en bloque),2026-09-25
ATA002,2,2026-09-25T20:36:28.659Z,victima-linux,80791,3,audit|audit_watch_delete|audit_watch_write,RS2,Audit: Deleted: /run/systemd/users/.,dudosa,ambigua:T1485-A2,T1485|File Modification,pendiente,,rule_group=audit_watch_write,ruido,Veredicto global aprobado por el humano (2026-09-25): senal ambigua T1485-A2 (rule_group=audit_watch_write) demasiado amplia; ninguna fila toca la carpeta del ataque (lab-legit); churn de sistema; la regla ya esta en el catalogo del baseline.,humano (veredicto en bloque),2026-09-25
ATA002,2,2026-09-25T20:36:28.661Z,victima-linux,80791,3,audit|audit_watch_delete|audit_watch_write,RS2,Audit: Deleted: /run/user/1000/systemd/units/invocation:dbus.socket.,dudosa,ambigua:T1485-A2,T1485|File Modification,pendiente,,rule_group=audit_watch_write,ruido,Veredicto global aprobado por el humano (2026-09-25): senal ambigua T1485-A2 (rule_group=audit_watch_write) demasiado amplia; ninguna fila toca la carpeta del ataque (lab-legit); churn de sistema; la regla ya esta en el catalogo del baseline.,humano (veredicto en bloque),2026-09-25
ATA002,2,2026-09-25T20:36:28.677Z,victima-linux,80791,3,audit|audit_watch_delete|audit_watch_write,RS2,Audit: Deleted: /run/user/1000/systemd/units/invocation:gpg-agent-ssh.socket.,dudosa,ambigua:T1485-A2,T1485|File Modification,pendiente,,rule_group=audit_watch_write,ruido,Veredicto global aprobado por el humano (2026-09-25): senal ambigua T1485-A2 (rule_group=audit_watch_write) demasiado amplia; ninguna fila toca la carpeta del ataque (lab-legit); churn de sistema; la regla ya esta en el catalogo del baseline.,humano (veredicto en bloque),2026-09-25
ATA002,2,2026-09-25T20:36:28.680Z,victima-linux,80791,3,audit|audit_watch_delete|audit_watch_write,RS2,Audit: Deleted: init.scope.,dudosa,ambigua:T1485-A2,T1485|File Modification,pendiente,,rule_group=audit_watch_write,ruido,Veredicto global aprobado por el humano (2026-09-25): senal ambigua T1485-A2 (rule_group=audit_watch_write) demasiado amplia; ninguna fila toca la carpeta del ataque (lab-legit); churn de sistema; la regla ya esta en el catalogo del baseline.,humano (veredicto en bloque),2026-09-25
ATA002,2,2026-09-25T20:36:28.682Z,victima-linux,80791,3,audit|audit_watch_delete|audit_watch_write,RS2,Audit: Deleted: app-xdg\x2duser\x2ddirs@autostart.service.,dudosa,ambigua:T1485-A2,T1485|File Modification,pendiente,,rule_group=audit_watch_write,ruido,Veredicto global aprobado por el humano (2026-09-25): senal ambigua T1485-A2 (rule_group=audit_watch_write) demasiado amplia; ninguna fila toca la carpeta del ataque (lab-legit); churn de sistema; la regla ya esta en el catalogo del baseline.,humano (veredicto en bloque),2026-09-25
ATA002,2,2026-09-25T20:36:28.684Z,victima-linux,80791,3,audit|audit_watch_delete|audit_watch_write,RS2,Audit: Deleted: app-xdg\x2duser\x2ddirs@autostart.service.,dudosa,ambigua:T1485-A2,T1485|File Modification,pendiente,,rule_group=audit_watch_write,ruido,Veredicto global aprobado por el humano (2026-09-25): senal ambigua T1485-A2 (rule_group=audit_watch_write) demasiado amplia; ninguna fila toca la carpeta del ataque (lab-legit); churn de sistema; la regla ya esta en el catalogo del baseline.,humano (veredicto en bloque),2026-09-25
ATA002,2,2026-09-25T20:36:28.691Z,victima-linux,80791,3,audit|audit_watch_delete|audit_watch_write,RS2,Audit: Deleted: app-snap\x2duserd\x2dautostart@autostart.service.,dudosa,ambigua:T1485-A2,T1485|File Modification,pendiente,,rule_group=audit_watch_write,ruido,Veredicto global aprobado por el humano (2026-09-25): senal ambigua T1485-A2 (rule_group=audit_watch_write) demasiado amplia; ninguna fila toca la carpeta del ataque (lab-legit); churn de sistema; la regla ya esta en el catalogo del baseline.,humano (veredicto en bloque),2026-09-25
ATA002,2,2026-09-25T20:36:28.691Z,victima-linux,80791,3,audit|audit_watch_delete|audit_watch_write,RS2,Audit: Deleted: app-snap\x2duserd\x2dautostart@autostart.service.,dudosa,ambigua:T1485-A2,T1485|File Modification,pendiente,,rule_group=audit_watch_write,ruido,Veredicto global aprobado por el humano (2026-09-25): senal ambigua T1485-A2 (rule_group=audit_watch_write) demasiado amplia; ninguna fila toca la carpeta del ataque (lab-legit); churn de sistema; la regla ya esta en el catalogo del baseline.,humano (veredicto en bloque),2026-09-25
