    PID    PPID USER     ELAPSED COMMAND         COMMAND
      1       0 root         140 systemd         /sbin/init
      2       0 root         140 kthreadd        [kthreadd]
      3       2 root         140 pool_workqueue_ [pool_workqueue_release]
      4       2 root         140 kworker/R-rcu_g [kworker/R-rcu_g]
      5       2 root         140 kworker/R-rcu_p [kworker/R-rcu_p]
      6       2 root         140 kworker/R-slub_ [kworker/R-slub_]
      7       2 root         140 kworker/R-netns [kworker/R-netns]
      8       2 root         140 kworker/0:0-cgr [kworker/0:0-cgroup_free]
      9       2 root         140 kworker/0:0H-kb [kworker/0:0H-kblockd]
     10       2 root         140 kworker/0:1-rcu [kworker/0:1-rcu_par_gp]
     11       2 root         140 kworker/u256:0- [kworker/u256:0-ipv6_addrconf]
     12       2 root         140 kworker/R-mm_pe [kworker/R-mm_pe]
     13       2 root         140 rcu_tasks_kthre [rcu_tasks_kthread]
     14       2 root         140 rcu_tasks_rude_ [rcu_tasks_rude_kthread]
     15       2 root         140 rcu_tasks_trace [rcu_tasks_trace_kthread]
     16       2 root         140 ksoftirqd/0     [ksoftirqd/0]
     17       2 root         140 rcu_preempt     [rcu_preempt]
     18       2 root         140 migration/0     [migration/0]
     19       2 root         140 idle_inject/0   [idle_inject/0]
     20       2 root         140 cpuhp/0         [cpuhp/0]
     21       2 root         140 cpuhp/1         [cpuhp/1]
     22       2 root         140 idle_inject/1   [idle_inject/1]
     23       2 root         140 migration/1     [migration/1]
     24       2 root         140 ksoftirqd/1     [ksoftirqd/1]
     25       2 root         140 kworker/1:0-eve [kworker/1:0-events]
     26       2 root         140 kworker/1:0H-ev [kworker/1:0H-events_highpri]
     27       2 root         140 kworker/u257:0- [kworker/u257:0-events_unbound]
     28       2 root         140 kworker/u258:0- [kworker/u258:0-writeback]
     29       2 root         140 kdevtmpfs       [kdevtmpfs]
     30       2 root         140 kworker/R-inet_ [kworker/R-inet_]
     31       2 root         140 kauditd         [kauditd]
     32       2 root         140 kworker/0:2-eve [kworker/0:2-events]
     33       2 root         140 khungtaskd      [khungtaskd]
     34       2 root         140 kworker/u257:1- [kworker/u257:1-events_unbound]
     35       2 root         140 oom_reaper      [oom_reaper]
     36       2 root         140 kworker/R-write [kworker/R-write]
     37       2 root         140 kcompactd0      [kcompactd0]
     38       2 root         140 kworker/u257:2- [kworker/u257:2-events_unbound]
     39       2 root         140 ksmd            [ksmd]
     40       2 root         140 khugepaged      [khugepaged]
     41       2 root         140 kworker/R-kinte [kworker/R-kinte]
     42       2 root         140 kworker/R-kbloc [kworker/R-kbloc]
     43       2 root         140 kworker/R-blkcg [kworker/R-blkcg]
     44       2 root         140 irq/9-acpi      [irq/9-acpi]
     45       2 root         140 kworker/R-tpm_d [kworker/R-tpm_d]
     46       2 root         140 kworker/R-ata_s [kworker/R-ata_s]
     47       2 root         140 kworker/R-md    [kworker/R-md]
     48       2 root         140 kworker/R-md_bi [kworker/R-md_bi]
     49       2 root         140 kworker/R-edac- [kworker/R-edac-]
     50       2 root         140 kworker/R-devfr [kworker/R-devfr]
