ata_id,tecnica,nombre,prueba_art,tests_linux,tests_windows,path,nota
ATA001,T1486,Data Encrypted for Impact,sí,4,4,atomics/T1486,cubierta
ATA002,T1485,Data Destruction,sí,1,3,atomics/T1485,cubierta
ATA003,T1490,Inhibit System Recovery,sí,0,12,atomics/T1490,solo_windows
ATA004,T1489,Service Stop,sí,5,4,atomics/T1489,cubierta
ATA005,T1561,Disk Wipe,no,0,0,,sin_pruebas
ATA006,T1565,Data Manipulation,no,0,0,,sin_pruebas
ATA007,T1491,Defacement,sí,0,4,atomics/T1491.001,solo_windows
ATA008,T1048,Exfiltration Over Alternative Protocol,sí,9,7,atomics/T1048;atomics/T1048.002;atomics/T1048.003,cubierta
ATA009,T1567,Exfiltration Over Web Service,sí,3,4,atomics/T1567.002;atomics/T1567.003;atomics/T1567.004,cubierta
ATA010,T1041,Exfiltration Over C2 Channel,sí,0,2,atomics/T1041,solo_windows
ATA011,T1074,Data Staged,sí,1,2,atomics/T1074.001,cubierta
ATA012,T1119,Automated Collection,sí,0,4,atomics/T1119,solo_windows
ATA013,T1560,Archive Collected Data,sí,9,8,atomics/T1560;atomics/T1560.001;atomics/T1560.002,cubierta
