# corpus_host.csv | MITRE ATT&CK Enterprise v19.1 (stix x_mitre_version=19.1) | generado=2026-09-19
tecnica_id,nombre,es_subtecnica,padre_id,tacticas,plataformas,endpoint_lw,data_components,num_dc,dc_host,dc_red,host_eligible,priority,heredado_padre,motivo,stix_version,fecha_generacion
T1005,Data from Local System,no,,Collection,ESXi;Linux;macOS;Network Devices;Windows,si,Command Execution;File Access;File Creation;Process Creation,4,4,0,YES,P1,no,ok,19.1,2026-09-19
T1011,Exfiltration Over Other Network Medium,no,,Exfiltration,Linux;macOS;Windows,si,Command Execution;File Creation;Host Status;Network Connection Creation;Network Traffic Content;Network Traffic Flow;Process Creation,7,4,3,YES,P1,no,ok,19.1,2026-09-19
T1011.001,Exfiltration Over Bluetooth,si,T1011,Exfiltration,Linux;macOS;Windows,si,Command Execution;File Access;File Creation;Network Connection Creation;Process Creation,5,4,1,YES,P1,no,ok,19.1,2026-09-19
T1020,Automated Exfiltration,no,,Exfiltration,Linux;macOS;Network Devices;Windows,si,Network Connection Creation;Process Creation;Scheduled Job Creation,3,2,1,YES,P1,no,ok,19.1,2026-09-19
T1025,Data from Removable Media,no,,Collection,Linux;macOS;Windows,si,Drive Creation;File Access;Process Creation,3,3,0,YES,P1,no,ok,19.1,2026-09-19
T1029,Scheduled Transfer,no,,Exfiltration,Linux;macOS;Windows,si,Network Connection Creation;Network Traffic Flow;Process Creation;Scheduled Job Metadata,4,2,2,YES,P1,no,ok,19.1,2026-09-19
T1039,Data from Network Shared Drive,no,,Collection,Linux;macOS;Windows,si,Drive Access;File Access;File Creation;Network Share Access,4,3,1,YES,P1,no,ok,19.1,2026-09-19
T1041,Exfiltration Over C2 Channel,no,,Exfiltration,ESXi;Linux;macOS;Windows,si,File Access;Network Connection Creation;Network Traffic Content;Network Traffic Flow;Process Creation,5,2,3,YES,P1,no,ok,19.1,2026-09-19
T1048,Exfiltration Over Alternative Protocol,no,,Exfiltration,ESXi;IaaS;Linux;macOS;Network Devices;Office Suite;SaaS;Windows,si,Cloud Storage Access;Command Execution;File Access;File Creation;File Modification;Network Connection Creation;Network Traffic Content;Network Traffic Flow;Process Creation,9,6,3,YES,P1,no,ok,19.1,2026-09-19
T1048.001,Exfiltration Over Symmetric Encrypted Non-C2 Protocol,si,T1048,Exfiltration,Linux;macOS;Windows;ESXi,si,Command Execution;Network Connection Creation;Network Traffic Content;Network Traffic Flow;Process Creation,5,2,3,YES,P1,no,ok,19.1,2026-09-19
T1048.002,Exfiltration Over Asymmetric Encrypted Non-C2 Protocol,si,T1048,Exfiltration,ESXi;Linux;macOS;Windows,si,Command Execution;File Access;Network Connection Creation;Network Traffic Content;Network Traffic Flow;Process Creation,6,3,3,YES,P1,no,ok,19.1,2026-09-19
T1048.003,Exfiltration Over Unencrypted Non-C2 Protocol,si,T1048,Exfiltration,ESXi;Linux;macOS;Network Devices;Windows,si,Command Execution;File Access;Network Connection Creation;Network Traffic Content;Network Traffic Flow;Process Creation,6,3,3,YES,P1,no,ok,19.1,2026-09-19
T1052,Exfiltration Over Physical Medium,no,,Exfiltration,Linux;macOS;Windows,si,Command Execution;Drive Creation;File Access;File Creation;Process Creation,5,5,0,YES,P1,no,ok,19.1,2026-09-19
T1052.001,Exfiltration over USB,si,T1052,Exfiltration,Linux;Windows;macOS,si,Drive Creation;File Access;File Creation;Process Creation,4,4,0,YES,P1,no,ok,19.1,2026-09-19
T1056,Input Capture,no,,Collection;Credential Access,Linux;macOS;Network Devices;Windows,si,File Access;File Modification;Network Connection Creation;Network Traffic Content;OS API Execution;Process Access;Process Creation;Process Metadata,8,6,2,YES,P1,no,ok,19.1,2026-09-19
T1056.001,Keylogging,si,T1056,Collection;Credential Access,Linux;macOS;Network Devices;Windows,si,File Access;Firmware Modification;Network Traffic Content;OS API Execution;Process Access;Process Creation;Process Metadata;Service Creation;Windows Registry Key Modification,9,8,1,YES,P1,no,ok,19.1,2026-09-19
T1056.002,GUI Input Capture,si,T1056,Collection;Credential Access,Linux;macOS;Windows,si,Command Execution;Process Creation;Script Execution,3,3,0,YES,P1,no,ok,19.1,2026-09-19
T1056.003,Web Portal Capture,si,T1056,Collection;Credential Access,Linux;macOS;Windows,si,File Creation;File Modification;Network Traffic Content,3,2,1,YES,P1,no,ok,19.1,2026-09-19
T1056.004,Credential API Hooking,si,T1056,Collection;Credential Access,Windows;Linux;macOS,si,File Access;Module Load;Process Access;Process Creation;Process Modification,5,5,0,YES,P1,no,ok,19.1,2026-09-19
T1074,Data Staged,no,,Collection,ESXi;IaaS;Linux;macOS;Windows,si,Cloud Storage Access;Command Execution;File Access;File Creation;Process Creation,5,5,0,YES,P1,no,ok,19.1,2026-09-19
T1074.001,Local Data Staging,si,T1074,Collection,ESXi;Linux;macOS;Windows,si,Command Execution;File Access;File Creation;Process Creation;Snapshot Creation,5,5,0,YES,P1,no,ok,19.1,2026-09-19
T1074.002,Remote Data Staging,si,T1074,Collection,ESXi;IaaS;Linux;macOS;Windows,si,Cloud Storage Access;Command Execution;File Access;File Creation;Network Share Access;Network Traffic Content;Process Creation,7,5,2,YES,P1,no,ok,19.1,2026-09-19
T1113,Screen Capture,no,,Collection,Linux;macOS;Windows,si,Module Load;Process Creation,2,2,0,YES,P1,no,ok,19.1,2026-09-19
T1114,Email Collection,no,,Collection,Windows;macOS;Linux;Office Suite,si,Application Log Content;Command Execution;File Access;Logon Session Creation;Network Connection Creation;Network Share Access;Process Creation,7,5,2,YES,P1,no,ok,19.1,2026-09-19
T1114.001,Local Email Collection,si,T1114,Collection,Windows,si,File Access;File Creation;Network Connection Creation;Process Creation,4,3,1,YES,P1,no,ok,19.1,2026-09-19
